gridid,dist_px_sum
21,0
22,28
30,862
31,400
32,22
42,113543.34375
43,19984.306640625
44,12269.9609375
45,54.20343017578125
46,15
59,196.73348999023438
60,968.1236572265625
61,1812.8341064453125
67,5432.400390625
68,2155.162109375
72,93
73,0
79,51
80,1910
81,7976.72412109375
82,3073.667724609375
83,14905.734375
84,4911.06201171875
85,2701
86,498
98,1179.2664794921875
99,6694.580078125
100,30204.958984375
101,16971.52734375
104,0
105,3980.75830078125
106,31653.349609375
107,1652.3289794921875
108,38
111,0
112,166
118,49737.33203125
119,19425.326171875
120,32079.66015625
121,12803.3505859375
122,20218.345703125
123,12368.359375
124,43288.640625
125,164557.921875
126,4309.95654296875
128,1560.91943359375
129,30
133,19373
134,26447.63671875
139,103.42943572998047
140,35331.9765625
141,199
143,0
144,11850
145,9124.13671875
146,12602.15234375
147,2688
148,0
157,38197.62109375
158,14686.3779296875
159,4811.8876953125
160,6341.6689453125
161,17716.2109375
162,908.45281982421875
163,54351.859375
164,613781.8125
165,38836.1640625
167,8767.9580078125
168,5826.12255859375
172,8953.794921875
173,38882.36328125
178,21494.48046875
179,17256.064453125
180,149
181,146
182,9788.2255859375
183,19185.318359375
184,28496.900390625
185,6919
187,217
188,55
196,35842.54296875
197,68358.6953125
198,12893.916015625
199,15346.236328125
200,18690.345703125
201,1150.1571044921875
202,7628.5087890625
203,49770.7421875
204,151517.8125
205,10685.119140625
211,1850.8133544921875
212,20000.392578125
214,0
215,7697.63427734375
216,17814.365234375
217,12141.30078125
218,8663
219,1512
220,1780
221,14955.7060546875
222,23767.576171875
223,17768.25
224,11274.71875
225,61
226,11
235,17989.4453125
236,183517.015625
237,54740.0703125
238,20636.74609375
239,17002.822265625
240,19650.10546875
241,12945.8310546875
242,14255.8681640625
243,3465.3828125
244,95234.8671875
245,233334.5625
246,1979.711181640625
250,8578.939453125
251,17882.041015625
252,455
253,9752.1875
254,16823.50390625
255,17388.900390625
256,7004.6103515625
257,94.50535583496094
259,6796.05419921875
260,27749.267578125
261,58566.66796875
262,47761.1953125
263,25764.115234375
264,12746.4765625
265,6459.74462890625
275,123319.734375
276,45608.84765625
277,24901.263671875
278,4683.8271484375
279,36315.11328125
280,247368.046875
281,16021.7705078125
282,9264.6376953125
283,25626.5
284,38333.31640625
285,1870
287,3828.65673828125
288,359.6220397949219
289,1029
290,10395.0205078125
291,26586.150390625
292,33381.328125
293,20240.18359375
294,44.70151901245117
296,7377.9853515625
297,37613.36328125
298,33769.35546875
299,55197.82421875
300,33704.19140625
301,33701.37890625
302,40070.37109375
303,26871.228515625
304,29577.361328125
314,174442.59375
315,201949.796875
316,162110.296875
317,57847.06640625
318,35414.52734375
319,50493.3671875
320,17593.740234375
321,16519.60546875
322,18631.46484375
323,14141.732421875
324,29888.994140625
325,14820.998046875
326,49054.7421875
327,13990.3408203125
328,2715
329,4212.33642578125
330,16854.81640625
331,21940.60546875
332,2441.361572265625
334,8806.7744140625
335,8591.166015625
336,18631.21875
337,20431.716796875
338,29715.30078125
339,34802.5390625
340,26917.234375
341,53495
342,55909.73828125
343,42871.14453125
344,29465.6875
353,132196.453125
354,145966.890625
355,73765.125
356,16639.76171875
357,10287.5498046875
358,60.72682189941406
359,56701.671875
360,225802.484375
