gridid,forest_px_sum
21,3710.274658203125
22,10800.3564453125
30,325444.9375
31,200433.734375
32,117315.3359375
42,1426094
43,872870.9375
44,354566.40625
45,177911.171875
46,10478.4580078125
59,115442.4765625
60,244395
61,367093.15625
67,993805.5625
68,733907.375
72,244786.21875
73,35022.89453125
79,17098.1640625
80,186331.703125
81,561971.25
82,516806.6875
83,997719.375
84,1587942.5
85,777046.875
86,73167.5703125
98,124097.5546875
99,708661.3125
100,1322136.375
101,1433523.625
104,0
105,395911.78125
106,4102035.75
107,1290018.25
108,32541.8359375
111,114084.7421875
112,108636.1484375
118,2514389.5
119,1421258.875
120,3645626.75
121,2754575.75
122,3470218.5
123,3137827.5
124,2409373.75
125,2731194
126,160718.9375
128,65659.1796875
129,10711.8896484375
133,1541895
134,1340274
139,10583.146484375
140,3521301.75
141,8447.92578125
143,0
144,2148147.5
145,3841683.5
146,2206358.75
147,536188.5
148,2324.807861328125
157,2299096.5
158,1483001.25
159,1591691.5
160,1755378.625
161,3876667
162,601368.4375
163,1914746.875
164,4868060.5
165,435577.84375
167,582945.8125
168,327276.09375
172,1277690.125
173,3148077.75
178,2864871.75
179,2012455.625
180,18763.6875
181,9049.8447265625
182,1989337.25
183,5550820
184,2652374.25
185,1108284.625
187,320332.46875
188,85916.875
196,1981651.875
197,4063218.25
198,1396876.625
199,3229783.75
200,2801347.25
201,897369.3125
202,5408191.5
203,3504243.25
204,3722285.75
205,337031.4375
211,537531.0625
212,2112431
214,0
215,467164.125
216,1936863.75
217,2421269.75
218,749933.1875
219,104958.171875
220,181168.40625
221,2904864.75
222,4157429.5
223,2158705.75
224,1819976.25
225,45022.64453125
226,29877.662109375
235,903963.125
236,7287213.5
237,3553564.5
238,2473920.5
239,2108050.5
240,4033372.75
241,3025219.25
242,1626779.375
243,1031655.625
244,3404894.25
245,4757533.5
246,330845.5
250,1766451.75
251,3086343.75
252,56931.296875
253,1065401.875
254,4180328.5
255,3552970.75
256,808147.25
257,4832.3115234375
259,644689.4375
260,5199448
261,5081735.5
262,4333638.5
263,3919985.25
264,1815262.875
265,1075898.75
275,4304639
276,3811863.5
277,2676844
278,848062.625
