year,expansion,n,area_ha_t0,area_ha_t1,gridid
1986,0,1140,0,1119.42,100
1986,1,73,195.66,133.11,100
1987,0,1483,0,1573.65,100
1987,1,244,536.13,781.38,100
1988,0,1236,0,1123.02,100
1988,1,419,1562.22,793.17,100
1989,0,607,0,462.69,100
1989,1,205,768.9599999999999,332.19,100
1990,0,342,0,321.93,100
1990,1,246,857.79,539.1899999999999,100
1991,0,869,0,653.04,100
1991,1,354,1488.96,533.52,100
1992,0,268,0,175.41,100
1992,1,235,1432.35,232.47,100
1993,0,1301,0,895.41,100
1993,1,1013,3433.14,1607.85,100
1994,0,569,0,482.49,100
1994,1,536,2747.97,2296.62,100
1995,0,334,0,252.54,100
1995,1,540,3870.27,827.8199999999999,100
1996,0,291,0,193.77,100
1996,1,232,2224.71,237.51,100
1997,0,1075,0,657.54,100
1997,1,1143,6296.67,2148.39,100
1998,0,1058,0,673.1999999999999,100
1998,1,1283,6703.11,2288.52,100
1999,0,358,0,235.53,100
1999,1,485,3133.71,688.23,100
2000,0,2173,0,1497.87,100
2000,1,1696,8743.68,2429.2799999999997,100
2001,0,490,0,322.74,100
2001,1,702,5463,859.9499999999999,100
2002,0,100,0,68.13,100
2002,1,371,4457.969999999999,507.06,100
2003,0,96,0,76.95,100
2003,1,274,4461.75,359.09999999999997,100
2004,0,28,0,15.21,100
2004,1,132,2813.4,128.43,100
2005,0,167,0,106.56,100
2005,1,532,6067.3499999999995,790.38,100
2006,0,121,0,72.81,100
2006,1,550,5535.8099999999995,834.8399999999999,100
2007,0,378,0,250.29,100
2007,1,1006,5831.91,2602.08,100
2008,0,178,0,116.64,100
2008,1,736,7117.0199999999995,2018.79,100
2009,0,43,0,28.71,100
2009,1,136,2878.38,274.95,100
2010,0,65,0,35.28,100
2010,1,240,4670.0999999999995,272.15999999999997,100
2011,0,108,0,63.54,100
2011,1,412,5586.66,472.14,100
2012,0,268,0,165.96,100
2012,1,1024,10987.74,1758.78,100
2013,0,222,0,159.03,100
2013,1,1009,10679.22,1998.99,100
2014,0,35,0,20.43,100
2014,1,221,4699.98,297.99,100
2015,0,61,0,33.03,100
2015,1,310,4863.0599999999995,406.44,100
2016,0,42,0,23.67,100
2016,1,293,2910.7799999999997,388.98,100
2017,0,153,0,100.08,100
2017,1,794,5870.97,1910.43,100
2018,0,50,0,27.36,100
2018,1,223,1351.1699999999998,347.49,100
2019,0,56,0,32.49,100
2019,1,344,3489.66,392.4,100
2020,0,58,0,32.94,100
2020,1,252,1799.91,231.12,100
2021,0,142,0,85.86,100
2021,1,776,4979.7,1340.1,100
2022,0,265,0,169.29,100
2022,1,1011,5535.99,2108.61,100
2023,0,114,0,78.57,100
2023,1,359,1904.22,964.8,100
1986,0,6108,0,7456.86,1000
1986,1,160,285.03,436.14,1000
1987,0,1131,0,1479.06,1000
1987,1,187,481.23,426.51,1000
1988,0,2769,0,2996.5499999999997,1000
1988,1,931,2056.86,2470.95,1000
1989,0,2229,0,2365.65,1000
1989,1,958,2840.22,1715.6699999999998,1000
1990,0,1599,0,1655.55,1000
1990,1,1316,4956.389999999999,2188.17,1000
1991,0,366,0,396,1000
1991,1,392,1470.87,550.4399999999999,1000
1992,0,1919,0,1528.38,1000
1992,1,2895,9806.58,5581.98,1000
1993,0,413,0,381.51,1000
1993,1,607,2939.85,1013.4,1000
1994,0,413,0,349.28999999999996,1000
1994,1,1338,6265.08,1961.37,1000
1995,0,162,0,157.23,1000
1995,1,321,1774.53,455.22,1000
1996,0,430,0,376.38,1000
1996,1,1037,5530.23,1473.21,1000
1997,0,1133,0,810.36,1000
1997,1,2753,12480.75,3939.48,1000
1998,0,671,0,799.02,1000
1998,1,930,5746.139999999999,1174.77,1000
1999,0,812,0,790.1999999999999,1000
1999,1,2302,10636.11,3348,1000
2000,0,682,0,941.58,1000
2000,1,498,3756.69,961.29,1000
2001,0,620,0,846.9,1000
2001,1,873,5718.0599999999995,1272.15,1000
2002,0,835,0,1049.85,1000
2002,1,909,6726.0599999999995,1647.63,1000
2003,0,952,0,1213.02,1000
2003,1,2299,13450.32,3873.15,1000
2004,0,1622,0,1905.39,1000
2004,1,1723,11709.45,5270.58,1000
2005,0,554,0,570.6,1000
2005,1,1247,10324.35,1759.95,1000
2006,0,1557,0,1331.73,1000
2006,1,4337,24028.02,8315.73,1000
2007,0,377,0,522.54,1000
2007,1,610,6519.78,1174.14,1000
2008,0,479,0,665.4599999999999,1000
2008,1,829,8813.88,1695.87,1000
2009,0,386,0,425.34,1000
2009,1,964,9615.06,1549.8,1000
2010,0,538,0,773.4599999999999,1000
2010,1,1317,13782.69,2552.85,1000
2011,0,941,0,1415.79,1000
2011,1,1739,17715.42,3767.49,1000
2012,0,552,0,677.43,1000
2012,1,600,8297.55,1054.53,1000
2013,0,851,0,1125.63,1000
2013,1,2480,24026.31,4702.68,1000
2014,0,639,0,930.51,1000
2014,1,1561,18428.94,3583.89,1000
2015,0,575,0,900.18,1000
2015,1,1013,15028.74,2855.6099999999997,1000
2016,0,892,0,1098.81,1000
