year,expansion,n,area_ha_t0,area_ha_t1,gridid
1986,0,1123,0,976.05,100
1986,1,71,190.89,119.07,100
1987,0,1300,0,1035.63,100
1987,1,200,415.71,244.53,100
1988,0,1195,0,954.36,100
1988,1,399,1484.01,564.3,100
1989,0,600,0,437.31,100
1989,1,200,714.87,255.87,100
1990,0,325,0,278.90999999999997,100
1990,1,229,795.6899999999999,355.40999999999997,100
1991,0,864,0,627.75,100
1991,1,348,1458.72,440.64,100
1992,0,266,0,167.76,100
1992,1,230,1411.2,201.15,100
1993,0,1278,0,838.26,100
1993,1,990,3231.27,1262.07,100
1994,0,536,0,411.57,100
1994,1,513,2304.18,767.6999999999999,100
1995,0,330,0,245.88,100
1995,1,524,3749.67,600.5699999999999,100
1996,0,290,0,183.24,100
1996,1,231,2210.4,230.67,100
1997,0,1054,0,628.92,100
1997,1,1085,5769.09,1278.18,100
1998,0,1021,0,635.67,100
1998,1,1189,6185.79,1440.1799999999998,100
1999,0,346,0,211.14,100
1999,1,470,3052.7999999999997,577.17,100
2000,0,2166,0,1482.39,100
2000,1,1684,8652.6,2279.0699999999997,100
2001,0,474,0,298.98,100
2001,1,682,5313.78,725.5799999999999,100
2002,0,99,0,61.65,100
2002,1,370,4451.94,476.28,100
2003,0,92,0,54.27,100
2003,1,270,4442.94,279.27,100
2004,0,28,0,15.21,100
2004,1,130,2787.48,125.64,100
2005,0,166,0,104.94,100
2005,1,528,6019.0199999999995,730.89,100
2006,0,121,0,72.81,100
2006,1,526,5096.88,675,100
2007,0,371,0,227.07,100
2007,1,973,5075.73,1414.62,100
2008,0,166,0,102.06,100
2008,1,667,6447.51,952.38,100
2009,0,43,0,28.71,100
2009,1,138,2861.8199999999997,201.78,100
2010,0,65,0,35.28,100
2010,1,239,4668.48,270.53999999999996,100
2011,0,108,0,63.54,100
2011,1,409,5502.96,408.78,100
2012,0,266,0,161.37,100
2012,1,1009,10827.9,1419.84,100
2013,0,202,0,117.63,100
2013,1,968,10288.17,1266.84,100
2014,0,35,0,20.43,100
2014,1,218,4648.32,249.93,100
2015,0,61,0,33.03,100
2015,1,305,4809.69,343.17,100
2016,0,41,0,22.32,100
2016,1,283,2817.54,304.74,100
2017,0,151,0,95.22,100
2017,1,759,5468.13,1075.59,100
2018,0,50,0,27.36,100
2018,1,222,1334.07,301.40999999999997,100
2019,0,56,0,32.49,100
2019,1,340,3445.65,355.14,100
2020,0,58,0,32.94,100
2020,1,251,1795.41,227.97,100
2021,0,136,0,80.19,100
