year,expansion,n,area_ha_t0,area_ha_t1,gridid
1986,0,17,0,143.37,100
1986,1,2,4.77,14.04,100
1987,0,183,0,538.02,100
1987,1,64,166.76999999999998,536.85,100
1988,0,41,0,168.66,100
1988,1,25,146.52,228.87,100
1989,0,7,0,25.38,100
1989,1,8,90.99,76.32,100
1990,0,17,0,43.02,100
1990,1,22,166.95,183.78,100
1991,0,5,0,25.29,100
1991,1,8,67.32,92.88,100
1992,0,2,0,7.65,100
1992,1,8,83.42999999999999,31.32,100
1993,0,23,0,57.15,100
1993,1,36,333.9,345.78,100
1994,0,37,0,73.35,100
1994,1,48,693.09,1526.49,100
1995,0,4,0,6.66,100
1995,1,22,379.53,227.25,100
1996,0,1,0,10.53,100
1996,1,1,14.31,6.84,100
1997,0,21,0,28.619999999999997,100
1997,1,112,1441.8,870.2099999999999,100
1998,0,37,0,37.53,100
1998,1,147,1756.44,848.3399999999999,100
1999,0,12,0,24.39,100
1999,1,19,105.39,111.06,100
2000,0,7,0,15.48,100
2000,1,28,785.9699999999999,150.21,100
2001,0,16,0,23.76,100
2001,1,33,450.81,134.37,100
2002,0,1,0,6.4799999999999995,100
2002,1,4,348.65999999999997,30.78,100
2003,0,4,0,22.68,100
2003,1,10,513.99,79.83,100
2004,1,3,29.43,2.79,100
2005,0,1,0,1.62,100
2005,1,7,446.04,59.49,100
2006,1,29,794.52,159.84,100
2007,0,7,0,23.22,100
2007,1,56,1151.82,1187.46,100
2008,0,12,0,14.58,100
2008,1,117,2111.67,1066.41,100
2009,1,4,450.63,73.17,100
2010,1,1,1.62,1.62,100
2011,1,6,120.33,63.36,100
2012,0,2,0,4.59,100
2012,1,42,1816.2,338.94,100
2013,0,20,0,41.4,100
2013,1,69,1327.5,732.15,100
2014,1,4,270.18,48.06,100
2015,1,10,1139.58,63.27,100
2016,0,1,0,1.35,100
2016,1,13,173.51999999999998,84.24,100
2017,0,2,0,4.859999999999999,100
2017,1,60,1252.8,834.84,100
2018,1,3,36.629999999999995,46.08,100
2019,1,7,142.38,37.26,100
2020,1,1,4.5,3.15,100
2021,0,6,0,5.67,100
2021,1,40,704.0699999999999,415.62,100
2022,0,4,0,4.14,100
2022,1,47,726.75,923.67,100
2023,0,11,0,10.8,100
2023,1,87,431.01,629.64,100
1986,0,72,0,474.75,1000
1986,1,9,17.82,73.17,1000
1987,0,2,0,38.97,1000
1987,1,2,3.33,58.86,1000
1988,0,78,0,248.49,1000
1988,1,41,131.31,843.39,1000
1989,0,34,0,104.94,1000
1989,1,22,79.83,282.96,1000
1990,0,1,0,0.63,1000
1990,1,2,18.63,37.349999999999994,1000
1992,0,77,0,111.69,1000
1992,1,200,1200.69,1008.09,1000
1993,0,3,0,2.52,1000
1993,1,2,45.36,25.56,1000
1994,1,3,47.879999999999995,40.14,1000
1997,0,5,0,4.41,1000
1997,1,18,515.52,176.04,1000
1998,0,6,0,23.94,1000
1998,1,5,9.18,41.489999999999995,1000
1999,0,4,0,39.24,1000
1999,1,8,252.99,122.67,1000
2000,1,1,48.239999999999995,12.78,1000
2001,1,1,75.78,20.34,1000
2002,0,1,0,4.5,1000
2003,0,17,0,36.36,1000
2003,1,10,51.39,124.2,1000
2004,0,66,0,146.34,1000
2004,1,69,752.85,1794.78,1000
2006,0,41,0,95.04,1000
2006,1,214,2454.75,1474.2,1000
2007,0,1,0,1.62,1000
2007,1,1,23.31,15.48,1000
2010,0,1,0,2.97,1000
2010,1,4,214.38,93.15,1000
2011,0,16,0,71.1,1000
2011,1,10,265.5,120.69,1000
2013,0,4,0,13.5,1000
2013,1,33,682.47,242.1,1000
2014,0,2,0,3.5999999999999996,1000
2014,1,5,104.67,55.53,1000
2015,1,2,450.36,52.559999999999995,1000
2016,0,4,0,17.64,1000
2016,1,11,243,185.94,1000
2017,1,7,71.91,96.12,1000
2018,0,29,0,97.38,1000
2018,1,202,2583.81,1687.14,1000
2019,0,7,0,34.74,1000
2019,1,16,312.03,178.2,1000
2020,1,4,39.24,57.78,1000
2021,0,2,0,6.4799999999999995,1000
2021,1,4,202.95,65.16,1000
2022,0,1,0,3.06,1000
2022,1,8,181.35,112.23,1000
2023,0,86,0,277.92,1000
2023,1,388,8360.369999999999,3957.03,1000
1986,0,111,0,1182.87,1001
1986,1,7,18,81.08999999999999,1001
1988,0,146,0,1095.21,1001
1988,1,62,288.9,899.28,1001
1989,0,376,0,1938.6,1001
1989,1,88,295.28999999999996,856.0799999999999,1001
1990,0,32,0,164.43,1001
1990,1,24,153.18,275.94,1001
1992,0,18,0,34.559999999999995,1001
1992,1,23,522,639.36,1001
1993,0,9,0,56.61,1001
1993,1,7,42.75,85.5,1001
1994,0,4,0,11.43,1001
1994,1,36,436.5,304.65,1001
1995,1,3,80.72999999999999,67.59,1001
1997,0,5,0,24.57,1001
1997,1,20,559.26,455.67,1001
1998,0,4,0,31.68,1001
1998,1,10,68.94,240.03,1001
1999,0,36,0,167.04,1001
1999,1,55,664.74,642.06,1001
2000,1,3,67.23,65.61,1001
2001,0,3,0,31.14,1001
2001,1,2,33.75,34.38,1001
2002,0,3,0,14.4,1001
2002,1,23,418.05,435.33,1001
2003,0,25,0,71.19,1001
2003,1,23,255.96,269.90999999999997,1001
2004,0,69,0,128.25,1001
2004,1,108,1516.86,1838.16,1001
2005,0,5,0,4.05,1001
2005,1,22,1065.33,416.79,1001
2006,0,80,0,138.32999999999998,1001
2006,1,369,5263.2,4485.87,1001
2007,0,1,0,0.8999999999999999,1001
2007,1,2,111.87,41.04,1001
2008,1,13,287.01,292.22999999999996,1001
2009,0,1,0,0.54,1001
2009,1,1,114.66,16.38,1001
2010,1,2,104.4,21.15,1001
2011,0,1,0,0.72,1001
2011,1,9,624.87,179.01,1001
2013,0,6,0,18.27,1001
2013,1,37,1551.78,642.3299999999999,1001
2014,1,2,70.38,65.88,1001
2015,0,1,0,0.72,1001
2015,1,4,445.95,64.35,1001
2016,0,2,0,3.24,1001
2016,1,12,212.49,108.9,1001
2017,0,13,0,33.03,1001
2017,1,131,4219.29,1256.22,1001
2018,0,14,0,23.31,1001
2018,1,107,2251.7999999999997,1585.53,1001
2019,0,10,0,28.35,1001
2019,1,28,713.0699999999999,366.39,1001
2020,1,2,59.22,41.76,1001
2021,0,9,0,14.85,1001
2021,1,152,3178.7999999999997,1980.27,1001
2022,0,12,0,20.97,1001
2022,1,90,642.3299999999999,931.59,1001
2023,0,111,0,262.89,1001
2023,1,837,31758.66,9763.65,1001
1986,0,34,0,395.82,1002
1986,1,2,10.53,18.99,1002
1987,0,2,0,16.74,1002
1987,1,1,9.18,14.85,1002
1988,0,295,0,1500.9299999999998,1002
1988,1,64,204.93,1006.38,1002
1989,0,753,0,2488.14,1002
1989,1,290,1316.52,5433.03,1002
1990,0,70,0,348.65999999999997,1002
1990,1,23,102.69,398.43,1002
1991,0,5,0,22.95,1002
1991,1,3,19.44,21.51,1002
1992,0,55,0,122.58,1002
1992,1,132,2168.37,2181.24,1002
1993,0,22,0,192.15,1002
1993,1,14,98.01,209.25,1002
1994,1,3,69.75,49.41,1002
1995,1,2,36.45,30.33,1002
1997,1,2,52.02,54.45,1002
1998,0,5,0,12.6,1002
1998,1,20,119.25,136.17,1002
1999,0,31,0,72.36,1002
1999,1,76,1205.1,920.7,1002
2000,0,91,0,235.8,1002
2000,1,200,3401.2799999999997,1598.76,1002
2001,0,12,0,45.54,1002
2001,1,30,683.37,375.66,1002
2002,0,1,0,0.36,1002
2002,1,8,761.5799999999999,232.29,1002
2003,0,4,0,5.9399999999999995,1002
2003,1,17,530.37,452.61,1002
2004,0,13,0,36.18,1002
2004,1,52,637.56,383.67,1002
2005,0,3,0,1.71,1002
2005,1,13,1173.06,243.81,1002
2006,0,23,0,75.15,1002
2006,1,68,2261.7,1370.25,1002
2007,1,2,48.239999999999995,53.370000000000005,1002
2008,1,2,196.29,45.27,1002
2009,1,2,28.26,46.44,1002
2011,1,14,2081.79,464.85,1002
2012,1,2,17.46,33.21,1002
2013,0,2,0,7.0200000000000005,1002
2013,1,7,315.36,118.53,1002
2014,1,1,5.04,6.3,1002
2015,1,14,531,231.48,1002
2016,0,60,0,149.4,1002
2016,1,197,4152.96,2040.12,1002
2017,0,19,0,45.629999999999995,1002
2017,1,88,2847.24,982.26,1002
2018,0,8,0,26.55,1002
2018,1,52,1499.6699999999998,1015.47,1002
2019,0,6,0,29.43,1002
2019,1,24,605.52,320.4,1002
2020,0,8,0,16.2,1002
2020,1,17,1206.54,218.16,1002
2021,0,41,0,84.33,1002
2021,1,318,9943.2,3144.42,1002
2022,0,2,0,2.97,1002
2022,1,15,349.11,142.65,1002
2023,0,82,0,143.01,1002
2023,1,440,16813.17,5065.47,1002
1986,0,14,0,148.23,1003
1987,1,1,1.08,15.3,1003
1988,0,74,0,190.44,1003
1988,1,12,43.83,212.58,1003
1989,0,81,0,418.23,1003
1989,1,44,211.77,449.28,1003
1990,0,4,0,21.78,1003
1990,1,1,3.87,64.25999999999999,1003
1991,0,6,0,15.66,1003
1991,1,10,111.87,324.18,1003
1992,0,30,0,69.3,1003
1992,1,48,493.74,853.8299999999999,1003
1994,0,3,0,35.1,1003
1994,1,1,38.879999999999995,18.72,1003
1995,1,3,14.31,25.38,1003
1999,0,51,0,130.04999999999998,1003
1999,1,99,1292.04,1045.8,1003
2000,0,27,0,67.77,1003
2000,1,69,922.86,585.63,1003
2001,0,7,0,34.739999999999995,1003
2001,1,20,626.22,260.19,1003
2002,0,2,0,2.16,1003
2002,1,7,149.76,102.78,1003
2003,0,2,0,7.83,1003
2003,1,7,345.69,275.03999999999996,1003
2005,0,5,0,7.56,1003
2005,1,11,533.25,180.99,1003
2006,1,8,529.38,60.66,1003
2008,1,2,10.62,8.37,1003
2011,1,3,568.98,46.8,1003
2015,1,13,1276.1999999999998,232.29,1003
2016,1,2,74.69999999999999,29.07,1003
2017,0,11,0,18,1003
2017,1,70,5648.759999999999,1088.37,1003
2018,1,2,172.35,39.15,1003
2019,1,1,71.91,23.22,1003
2020,0,8,0,16.2,1003
2020,1,17,2053.35,322.65,1003
2022,1,1,42.21,12.42,1003
2023,0,16,0,22.59,1003
2023,1,106,4416.21,1828.89,1003
1986,0,18,0,194.49,101
1986,1,10,34.92,54.809999999999995,101
1987,0,63,0,233.55,101
1987,1,17,73.25999999999999,177.21,101
1988,0,76,0,421.29,101
1988,1,39,291.78,412.47,101
1989,0,54,0,216.63,101
1989,1,27,326.34,713.34,101
1990,0,16,0,134.37,101
1990,1,20,389.07,290.78999999999996,101
1991,0,5,0,26.549999999999997,101
1991,1,6,182.16,68.67,101
1992,0,6,0,40.77,101
1992,1,5,26.64,50.04,101
1993,0,2,0,1.5299999999999998,101
1993,1,15,257.31,140.48999999999998,101
1994,0,51,0,207.99,101
1994,1,32,945,535.5,101
1995,0,5,0,11.88,101
1995,1,16,432.72,532.8,101
1996,0,3,0,14.759999999999998,101
1996,1,8,567.81,110.25,101
1997,0,11,0,26.82,101
1997,1,38,775.17,370.89,101
1998,0,286,0,450.9,101
1998,1,279,4369.41,4720.95,101
1999,0,28,0,70.2,101
1999,1,29,1129.5,407.52,101
2000,0,5,0,14.49,101
2000,1,24,4246.83,479.52,101
2001,0,3,0,14.94,101
2001,1,12,3952.53,659.16,101
2002,0,14,0,47.52,101
2002,1,18,1081.1699999999998,335.25,101
2003,1,15,177.29999999999998,132.48,101
2004,1,11,653.76,140.76,101
2005,1,6,548.91,66.33,101
2006,1,20,1392.12,153.81,101
2007,0,3,0,8.1,101
2007,1,30,5150.61,479.61,101
2008,0,9,0,7.11,101
2008,1,47,4147.5599999999995,416.88,101
2009,0,1,0,0.45,101
2009,1,11,509.76,161.91,101
2010,0,14,0,19.26,101
2010,1,21,885.42,545.5799999999999,101
2011,0,7,0,9.45,101
