gridid,name,value,forest_px_sum,dist_px_sum,rate
21,area,3.0949999999999998,3710.274658203125,13.794871794871796,0.003718019032465
21,np,108,3710.274658203125,13.794871794871796,0.003718019032465
21,ai,77.40213523131672,3710.274658203125,13.794871794871796,0.003718019032465
22,area,2.877869822485207,10800.3564453125,42.79487179487179,0.00396235735473761
22,np,338,10800.3564453125,42.79487179487179,0.00396235735473761
22,ai,72.26737668161435,10800.3564453125,42.79487179487179,0.00396235735473761
30,area,5.691844150796735,325444.9375,1068.4033375275442,0.00328290046769445
30,np,5146,325444.9375,1068.4033375275442,0.00328290046769445
30,ai,81.21963269119188,325444.9375,1068.4033375275442,0.00328290046769445
31,area,4.270608716248224,200433.734375,712.4599977150941,0.00355459124651203
31,np,4222,200433.734375,712.4599977150941,0.00355459124651203
31,ai,78.73190889034524,200433.734375,712.4599977150941,0.00355459124651203
32,area,3.9418992537313433,117315.3359375,141.21358705178287,0.00120370952291365
32,np,2680,117315.3359375,141.21358705178287,0.00120370952291365
32,ai,78.34976674242554,117315.3359375,141.21358705178287,0.00120370952291365
42,area,33.12418172431595,1426094,22973.557823768027,0.01610942744571397
42,np,3874,1426094,22973.557823768027,0.01610942744571397
42,ai,93.34684573227551,1426094,22973.557823768027,0.01610942744571397
43,area,13.984458882164471,872870.9375,9804.129932892629,0.01123204990759888
43,np,5618,872870.9375,9804.129932892629,0.01123204990759888
43,ai,88.63758469690306,872870.9375,9804.129932892629,0.01123204990759888
44,area,6.149421742482652,354566.40625,2255.823193672376,0.00636220226707497
44,np,5188,354566.40625,2255.823193672376,0.00636220226707497
44,ai,83.06495480870171,354566.40625,2255.823193672376,0.00636220226707497
45,area,3.9687810327706057,177911.171875,544.8996229416285,0.0030627622605087
45,np,4028,177911.171875,544.8996229416285,0.0030627622605087
45,ai,80.07234620083689,177911.171875,544.8996229416285,0.0030627622605087
46,area,2.6137396121883656,10478.4580078125,55.38461538461539,0.00528556924533379
46,np,361,10478.4580078125,55.38461538461539,0.00528556924533379
46,ai,76.82897461831142,10478.4580078125,55.38461538461539,0.00528556924533379
59,area,6.2281403719256145,115442.4765625,785.9810736240485,0.00680842179610138
59,np,1667,115442.4765625,785.9810736240485,0.00680842179610138
59,ai,83.8170215355724,115442.4765625,785.9810736240485,0.00680842179610138
60,area,4.0870745769016175,244395,2879.6708319248296,0.01178285493534986
60,np,5377,244395,2879.6708319248296,0.01178285493534986
60,ai,79.34386740286148,244395,2879.6708319248296,0.01178285493534986
61,area,8.216357302811645,367093.15625,2304.981241470728,0.00627900902598406
61,np,4019,367093.15625,2304.981241470728,0.00627900902598406
61,ai,85.37360087360088,367093.15625,2304.981241470728,0.00627900902598406
67,area,19.92477591973244,993805.5625,7101.284096742288,0.00714554673942297
67,np,4485,993805.5625,7101.284096742288,0.00714554673942297
67,ai,89.20307705801316,993805.5625,7101.284096742288,0.00714554673942297
68,area,10.10649487689249,733907.375,5085.560510879908,0.00692943099376799
68,np,6539,733907.375,5085.560510879908,0.00692943099376799
68,ai,85.71518169274484,733907.375,5085.560510879908,0.00692943099376799
72,area,8.471219699884571,244786.21875,2126.9588963435244,0.00868904674129464
72,np,2599,244786.21875,2126.9588963435244,0.00868904674129464
72,ai,84.9847420484568,244786.21875,2126.9588963435244,0.00868904674129464
73,area,8.78766016713092,35022.89453125,415.0298443085108,0.01185024395793987
73,np,359,35022.89453125,415.0298443085108,0.01185024395793987
73,ai,85.6534396466421,35022.89453125,415.0298443085108,0.01185024395793987
79,area,4.194246575342466,17098.1640625,114.8784570204906,0.00671875978032308
79,np,365,17098.1640625,114.8784570204906,0.00671875978032308
79,ai,79.504724666015,17098.1640625,114.8784570204906,0.00671875978032308
80,area,14.116731255265375,186331.703125,4682.270291841947,0.02512868295257765
80,np,1187,186331.703125,4682.270291841947,0.02512868295257765
80,ai,89.48439455727379,186331.703125,4682.270291841947,0.02512868295257765
81,area,10.499283786589164,561971.25,9199.820184169672,0.0163706242697819
81,np,4817,561971.25,9199.820184169672,0.0163706242697819
81,ai,89.00302034052334,561971.25,9199.820184169672,0.0163706242697819
82,area,6.176666666666667,516806.6875,2279.1373901367188,0.00441003850233017
82,np,7533,516806.6875,2279.1373901367188,0.00441003850233017
82,ai,83.34061315112805,516806.6875,2279.1373901367188,0.00441003850233017
83,area,7.766700389105058,997719.375,3507.215335161258,0.00351523226173818
83,np,11565,997719.375,3507.215335161258,0.00351523226173818
83,ai,85.43677342966024,997719.375,3507.215335161258,0.00351523226173818
84,area,10.53776491409188,1587942.5,3235.591483091697,0.00203759990244715
84,np,13561,1587942.5,3235.591483091697,0.00203759990244715
84,ai,87.830422871312,1587942.5,3235.591483091697,0.00203759990244715
85,area,10.061759032675974,777046.875,2117.489983974359,0.00272504793739033
85,np,6947,777046.875,2117.489983974359,0.00272504793739033
85,ai,88.01790984364658,777046.875,2117.489983974359,0.00272504793739033
86,area,4.004590163934426,73167.5703125,237.84504582331732,0.0032506894079915
86,np,1647,73167.5703125,237.84504582331732,0.0032506894079915
86,ai,79.34888307561667,73167.5703125,237.84504582331732,0.0032506894079915
98,area,6.591185840707964,124097.5546875,1318.960227770683,0.01062841432365095
98,np,1695,124097.5546875,1318.960227770683,0.01062841432365095
98,ai,85.55519201173036,124097.5546875,1318.960227770683,0.01062841432365095
99,area,14.72892609699769,708661.3125,9045.461907802484,0.01276415369126346
99,np,4330,708661.3125,9045.461907802484,0.01276415369126346
99,ai,90.60905673066463,708661.3125,9045.461907802484,0.01276415369126346
100,area,11.723848048876626,1322136.375,13059.023493840145,0.00987721368292294
100,np,10148,1322136.375,13059.023493840145,0.00987721368292294
100,ai,86.8001005467228,1322136.375,13059.023493840145,0.00987721368292294
101,area,30.684049940546966,1433523.625,13961.784279847756,0.00973948670001706
101,np,4205,1433523.625,13961.784279847756,0.00973948670001706
101,ai,93.920573403438,1433523.625,13961.784279847756,0.00973948670001706
104,area,NA,0,0,NA
104,np,NA,0,0,NA
104,ai,NA,0,0,NA
105,area,8.831406249999999,395911.78125,3883.6928992638223,0.00980949060672546
105,np,4032,395911.78125,3883.6928992638223,0.00980949060672546
105,ai,84.7021967381192,395911.78125,3883.6928992638223,0.00980949060672546
106,area,19.52632895989842,4102035.75,28749.40393379407,0.00700856981409634
106,np,18902,4102035.75,28749.40393379407,0.00700856981409634
106,ai,89.78635317079122,4102035.75,28749.40393379407,0.00700856981409634
107,area,12.492187701569554,1290018.25,6288.577035757212,0.00487479695404093
107,np,9302,1290018.25,6288.577035757212,0.00487479695404093
107,ai,87.86465586641245,1290018.25,6288.577035757212,0.00487479695404093
108,area,3.950053908355795,32541.8359375,174.23076923076923,0.00535405468718475
108,np,742,32541.8359375,174.23076923076923,0.00535405468718475
108,ai,78.63086875299132,32541.8359375,174.23076923076923,0.00535405468718475
111,area,10.98096256684492,114084.7421875,420.8173047090188,0.0036886379075775
111,np,935,114084.7421875,420.8173047090188,0.0036886379075775
111,ai,86.30233335091698,114084.7421875,420.8173047090188,0.0036886379075775
112,area,8.51373368146214,108636.1484375,500.424738468268,0.00460642931165927
112,np,1149,108636.1484375,500.424738468268,0.00460642931165927
