gridid,asap0_id,name0,name0_shr,asap_cntry,an_crop,an_range,km2_tot,km2_crop,km2_rang2,g1_units,isocode,geometry
261,106,The former Yugoslav Republic of Macedonia,FYR Macedonia,f,t,t,25424,7250,10826,1,MK,"c(5285923, 2099491)"
262,106,The former Yugoslav Republic of Macedonia,FYR Macedonia,f,t,t,25424,7250,10826,1,MK,"c(5385923, 2099491)"
300,106,The former Yugoslav Republic of Macedonia,FYR Macedonia,f,t,t,25424,7250,10826,1,MK,"c(5285923, 2199491)"
952,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4185923, 3899491)"
991,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4185923, 3999491)"
992,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4285923, 3999491)"
1029,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4085923, 4099491)"
1030,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4185923, 4099491)"
1031,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4285923, 4099491)"
1032,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4099491)"
1068,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4085923, 4199491)"
1069,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4185923, 4199491)"
1070,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4285923, 4199491)"
1071,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4199491)"
1107,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4085923, 4299491)"
1108,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4185923, 4299491)"
1109,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4285923, 4299491)"
1110,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4299491)"
1148,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4285923, 4399491)"
1149,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4399491)"
1188,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4499491)"
1227,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4385923, 4599491)"
1228,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4485923, 4599491)"
1267,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4485923, 4699491)"
1306,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4485923, 4799491)"
1346,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4585923, 4899491)"
1385,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4585923, 4999491)"
1425,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4685923, 5099491)"
1464,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4685923, 5199491)"
1465,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4785923, 5199491)"
1466,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4885923, 5199491)"
1505,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4885923, 5299491)"
1506,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4985923, 5299491)"
1544,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4885923, 5399491)"
1545,173,Norway,Norway,f,t,f,315278,14254,796,19,NO,"c(4985923, 5399491)"
336,202,Bosnia and Herzegovina,Bosnia Herzeg.,f,t,t,51145,14356,16250,2,BA,"c(4985923, 2299491)"
374,202,Bosnia and Herzegovina,Bosnia Herzeg.,f,t,t,51145,14356,16250,2,BA,"c(4885923, 2399491)"
375,202,Bosnia and Herzegovina,Bosnia Herzeg.,f,t,t,51145,14356,16250,2,BA,"c(4985923, 2399491)"
539,70,"Moldova, Republic of",Moldova,f,t,t,33798,30585,1109,1,MD,"c(5785923, 2799491)"
577,70,"Moldova, Republic of",Moldova,f,t,t,33798,30585,1109,1,MD,"c(5685923, 2899491)"
301,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5385923, 2199491)"
302,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5485923, 2199491)"
303,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5585923, 2199491)"
340,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5385923, 2299491)"
341,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5485923, 2299491)"
342,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5585923, 2299491)"
343,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5685923, 2299491)"
379,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5385923, 2399491)"
380,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5485923, 2399491)"
381,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5585923, 2399491)"
382,87,Bulgaria,Bulgaria,f,t,t,111300,53768,30963,1,BG,"c(5685923, 2399491)"
845,102,Lithuania,Lithuania,f,t,t,64829,35284,13827,10,LT,"c(5185923, 3599491)"
846,102,Lithuania,Lithuania,f,t,t,64829,35284,13827,10,LT,"c(5285923, 3599491)"
883,102,Lithuania,Lithuania,f,t,t,64829,35284,13827,10,LT,"c(5085923, 3699491)"
884,102,Lithuania,Lithuania,f,t,t,64829,35284,13827,10,LT,"c(5185923, 3699491)"
885,102,Lithuania,Lithuania,f,t,t,64829,35284,13827,10,LT,"c(5285923, 3699491)"
452,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(4885923, 2599491)"
453,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(4985923, 2599491)"
491,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(4885923, 2699491)"
492,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(4985923, 2699491)"
493,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(5085923, 2699491)"
494,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(5185923, 2699491)"
531,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(4985923, 2799491)"
532,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(5085923, 2799491)"
533,107,Hungary,Hungary,f,t,t,93119,54770,29079,1,HU,"c(5185923, 2799491)"
299,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5185923, 2199491)"
338,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5185923, 2299491)"
339,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5285923, 2299491)"
376,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5085923, 2399491)"
377,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5185923, 2399491)"
378,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5285923, 2399491)"
415,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5085923, 2499491)"
416,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5185923, 2499491)"
454,130,Serbia,Serbia,f,t,t,88478,45700,15333,1,RS,"c(5085923, 2599491)"
335,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4885923, 2299491)"
373,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4785923, 2399491)"
411,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4685923, 2499491)"
412,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4785923, 2499491)"
413,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4885923, 2499491)"
414,4,Croatia,Croatia,f,t,t,55457,19755,14504,1,HR,"c(4985923, 2499491)"
671,151,U.K. of Great Britain and Northern Ireland,U.K.,f,t,t,242236,68062,152152,4,GB,"c(3385923, 3199491)"
672,151,U.K. of Great Britain and Northern Ireland,U.K.,f,t,t,242236,68062,152152,4,GB,"c(3485923, 3199491)"
