subset,gridid,expansion_rate_n_mn,expansion_rate_area_mn,expansion_rate_n_se,expansion_rate_area_se,forest_px_sum,dist_px_sum,rate
total,21,NA,NA,NA,NA,3710.274658203125,13.794871794871796,0.003718019032465
total,22,0.6604938271604939,0.7303622303622302,0.10161776316761932,0.10555031981703743,10800.3564453125,42.79487179487179,0.00396235735473761
total,30,0.5208615541375133,0.6044690379518827,0.029210392492123666,0.025443800083134047,325444.9375,1068.4033375275442,0.00328290046769445
total,31,0.5820799497496864,0.6873754043016115,0.02318179871996211,0.035642310969872144,200433.734375,712.4599977150941,0.00355459124651203
total,32,0.4274659863945578,0.44246765136132965,0.032259286845253685,0.04038116805503582,117315.3359375,141.21358705178287,0.00120370952291365
total,42,0.7954255732641957,0.9223513695608725,0.018786601820236674,0.0062649408220077,1426094,22973.557823768027,0.01610942744571397
total,43,0.803699556722129,0.9308710807198215,0.03531566371286149,0.012655283104557293,872870.9375,9804.129932892629,0.01123204990759888
total,44,0.5373609940941341,0.7514350834960314,0.03984307821110427,0.06375020287038524,354566.40625,2255.823193672376,0.00636220226707497
total,45,0.31404753273155805,0.4633478287824091,0.04952856598082566,0.09190627750818933,177911.171875,544.8996229416285,0.0030627622605087
total,46,NA,NA,NA,NA,10478.4580078125,55.38461538461539,0.00528556924533379
total,59,0.6544728276356915,0.8357892258701555,0.046047341077183335,0.03229173143501966,115442.4765625,785.9810736240485,0.00680842179610138
total,60,0.7722900438725109,0.9236827161866259,0.021997361842699802,0.013848545691060534,244395,2879.6708319248296,0.01178285493534986
total,61,0.6805011911601736,0.840484947288363,0.01656930603069431,0.013112804351253482,367093.15625,2304.981241470728,0.00627900902598406
total,67,0.7265089505362736,0.8691624052703321,0.02853350389297754,0.01966557542469068,993805.5625,7101.284096742288,0.00714554673942297
total,68,0.6642172291786775,0.8452427866851033,0.03855505737721606,0.03449861120869807,733907.375,5085.560510879908,0.00692943099376799
total,72,0.5695526952446383,0.6944527975195323,0.0630636559531442,0.06828224324438516,244786.21875,2126.9588963435244,0.00868904674129464
total,73,0.7500621566478304,0.856110509677713,0.06953002439626613,0.03809266773521791,35022.89453125,415.0298443085108,0.01185024395793987
total,79,0.7347449637132251,0.925457372890221,0.026598056279514073,0.01634042116665354,17098.1640625,114.8784570204906,0.00671875978032308
total,80,0.8129010010599075,0.9630763299085581,0.019216153014779504,0.007412613663515424,186331.703125,4682.270291841947,0.02512868295257765
total,81,0.7540736416062179,0.9393325303214022,0.029351991262627747,0.010041735856012255,561971.25,9199.820184169672,0.0163706242697819
total,82,0.6703361395236599,0.7683771734168466,0.04457519900626156,0.030058105615904315,516806.6875,2279.1373901367188,0.00441003850233017
